Theater Company / School / Artistic Organization,Alt names,Link to more info,Language,Type of Organization,Year Founded,Year Ended,Location,Location,Location,Location,Location,Location,Location,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,
Chicago Dramatishe Gezelshaft,CDG,https://www.academia.edu/2090781/Heymish_Modernism_Joseph_Buloffs_Chicago_Revaluation_of_the_American_Yiddish_Theater,Yiddish,Amateur,,,Chicago,,,,,,,Joseph Buloff,Post,,,,,,,Luba Kadison,Post,Avrom Morevsky,Post,Avrom Taytlboym,Post,Benjamin Fishbein,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Repertory Theatre,,https://en.wikipedia.org/wiki/Fourteenth_Street_Theatre,English,Professional,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva Le Gallienne,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comédie Française,,https://en.wikipedia.org/wiki/Comédie-Française,French,Professional,1680,Present,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louise Lara,Actor,Sarah Bernhardt,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrès International d'Architecture Moderne (CIAM),CIAM,https://en.wikipedia.org/wiki/Congrès_International_d%27Architecture_Moderne,Polish,Artistic group,1928,,"La Sarraz, Switzerland",,,,,,,Szymon Syrkus,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hannes Meyer,Founder,Le Corbusier,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Union,,https://en.wikipedia.org/wiki/Cooper_Union,English,College/University,,,New York,,,,,,,,,,,,,,,Mau Zolotarof,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cricot 2,,http://www.cricoteka.pl/en/main.php?d=teatr&kat=6,Polish,Professional,1955,1991,Krakow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadeusz Kantor,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Institute of Performing Arts,,https://en.wikipedia.org/wiki/Baruch_Lumet,English,"Professional, School",,,Dallas,,,,,,,Baruch Lumet,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayne Mansfield,Student,Rip Torn,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Symphony Orchestra,,https://en.wikipedia.org/wiki/Dallas_Symphony_Orchestra,English,Orchestra,,,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Kletzki,Conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsches Theater,,https://en.wikipedia.org/wiki/Deutsches_Theater,German,Professional,,,Berlin,,,,,,,,,,,,,,,Lidia Pototska,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Director,Max Reinhardt,Director,Alexander Moissi,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di bande,The Strugatsh Band,none,Yiddish,Cabaret,,,Vilna,,,,,,,,,,,,,,,Zalmen Hirshfeld,Pre,Yosef Kamen,Pre,Nadia Kareni,Pre,Ester Rapel,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di maske,,none,Yiddish,Amateur,,,Lviv,,,,,,,,,,,,,,,Fritz Kleynman,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di yidishe bande,,http://www.yivoencyclopedia.org/article.aspx/Kleynkunst,Yiddish,Cabaret,1931?,1939?,Kalisz,Lodz,Krakow,Vilna,Paris,Argentina,Brazil,,,,,,,,,Leon Liebgold,Post,Shmuel Sheftel,Post,A. Roytman,Post,Rokhl Holtzer,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lili Liliana,Actor,Malvina Rapel,Actor,Shimon Dzigan,Actor,Yisroel Shumacher,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovid Herman,,,,,,
Di Yunge Bine,,none,Yiddish,Professional,,,"Traveling, EE",,,,,,,,,,,,,,,Yitzkhok Grudberg,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,"Founder, Director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dos Baveglekhe Dramatishe Teater,,none,Yiddish,Professional,,,"Traveling, EE",,,,,,,,,,,,,,,Yitzkhok Grudberg,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,"Founder, Director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovid Herman Theater,,http://www.amazon.com/Wanderers-Dreamers-Theatre-English-Yiddish/dp/1864470615,Yiddish,Professional,,,Melbourne,,,,,,,Jacob Waislitz,Post,,,,,,,Yosef Shayn,Post,Jacob Rotbaum,Post,Rokhl Holtzer,Post,Ida Kaminska,Post,Mila Waislitz,Post,Moyshe Potashinski,Post,Yokheved Waislitz,Post,Meir Melman,Post,Ida Kaminska,Post,Zygmunt Turkow,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruth Turkow,Actor,Shimon Dzigan,Actor,Dina Halpern,"Actor, Director",Lea Koenig,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
École des Beaux-Arts, École Nationale Supérieure des Beaux-Arts,https://en.wikipedia.org/wiki/École_des_Beaux-Arts,French,School,1648,Present,Paris,,,,,,,,,,,,,,,Szymon Syrkus,Pre,Henryk Berlewi,Pre,Reuven Rubin,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekspresjoniści polscy ,"Polish Expressionists, Formisci, Formists",http://culture.pl/pl/tworca/formisci-wczesniej-ekspresjonisci-polscy,Polish,Artistic group,1917,,Krakow,,,,,,,Andrzej Pronaszko,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanisław Witkiewicz,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble Art Theater,,none,Yiddish,Professional,,,New York,,,,,,,Yankev Mestel,Post,,,,,,,Leonid Sniegov,Post,Wolf Barzel,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Actor,Egon Brecher,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ester-Rokhl Kaminska Troupe,,http://jwa.org/encyclopedia/article/kaminska-esther-rachel-and-ida-kaminska,Yiddish,Professional,,,Odessa,Kiev,Minsk,Warsaw,,,,,,,,,,,,Isaac Samberg,Pre,Ida Kaminska,Pre,Leah Naomi,Pre,Leyzer Zhelazo,Pre,Avrom Taytlboym,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Arnshteyn,Director,Ester-Rokhl Kaminska,"Founder, Director",A.Y. Kaminski,"Actor, Director",Diana Blumenfeld,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excelsior Theater,,none,Yiddish,Professional,,,Buenos Aires,,,,,,,,,,,,,,,Shmuel Iris,Post,Zalmen Hirshfeld,Post,Ester Rapel,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAKT,"Krakow Yiddish Dramatic Theater, FAKT, Fareynikte idishe dramatishe artistn, Fareynikter idisher kunst teater",none,Yiddish,Professional,1932,193?,Krakow,Lodz,,,,,,Zygmunt Turkow,Post,Ida Kaminska,Post,Alex Stein,Post,,,Rokhl Holtzer,Post,Yankev Reynglas,Post,Avrom Morevsky,Post,Klara Segalovitch,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diana Blumenfeld,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fareynikte trupe,,none,Yiddish,Professional,,,Warsaw,Lodz,,,,,,Isaac Schlossberg,Pre,,,,,,,Shloyme Kon,Pre,Leah Naomi,Pre,Naomi Natan,Pre,Avrom Taytlboym,Pre,Leyzer Zhelazo,Pre,Klara Segalovitch,Pre,Shloyme Krause,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester-Rokhl Kaminska,Director,A.Y. Kaminski,Director/Actor,Miriam Gurevitz,Actor,Ester Lipovska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fareynikter Yidisher Kultur Front Experimental Studio,,none,Yiddish,Professional,1936,1937,Johannesburg,,,,,,,Jacob Waislitz,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folks un yugnt teater,Teater far yugnt,none,Yiddish,Professional,1937,,Lodz,,,,,,,Klara Segalovitch,Post,Mikhl Weichert,Post,Mordechai Mazo,Post,,,Daniel Shapiro,Post,Ester Goldnberg,Post,Shloyme Kon,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Schiller,Director,Władysław Godik,Actor,Max Wiskind,Assistant Director,Aaron Zeitlin,Writer/Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folksbiene,,https://en.wikipedia.org/wiki/Folksbiene,Yiddish,"Amateur, Professional",,,New York,,,,,,,Binyomin Levin,Pre,,,,,,,Leib Kadison,Post,Dovid Likht,Post,Jacob Ben-Ami,Post,Joseph Buloff,Post,Leon Liebgold,Post,Mordechai Yachson,Post,Leola Vendorf,Post,Jacob Rotbaum,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,Director,Bertha Gersten,Actor,Julia Levin,Choreographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frayhayt Dramatishe Studio,,none,Yiddish,School,1925,,New York,,,,,,,Yankev Mestel,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freie Jüdische Volksbühne,,https://de.wikipedia.org/wiki/Jüdisches_Leben_in_Wien,Yiddish,Professional,1920,1923,Vienna,Bucharest,,,,,,Isaac Deutsch,Pre,Mina Deutsch,Pre,Lea Weintraub-Graf,Pre,Yankev Mestel,Pre,Klara Meisels,Pre,Lidia Pototska,Pre,Ben-Tsiyon Segal,Pre,Simkhe Natan,Pre,Adolph Bell,Pre,Itzikl Goldnberg,Pre,Hanoch Mayer,Pre,Naomi Natan,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gdansk Jewish Theater Collective,Danzig Jewish Theater Collective,none,Yiddish,Amateur,193?,,Gdansk,,,,,,,,,,,,,,,Yitzkhok Dogim,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfaden trupe,Goldfaden Troupe,http://www.yivoencyclopedia.org/article.aspx/Goldfadn_Avrom,Yiddish,Professional,1876,,Jassy,EE,,,,,,,,,,,,,,Joseph Edelstein,Pre,Itzikl Goldnberg,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertha Kalich,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfadn Fareyn,,none,Yiddish,Professional,1933,,Stanislavov,,,,,,,Alex Stein,Post,Yosef Kamen,Post,,,,,Dovid Herman,Post,Shloyme Kon,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSET,"Jewish Chamber Theater, Moscow State Yiddish Theater",http://www.yivoencyclopedia.org/article.aspx/Moscow_State_Yiddish_Theater,Yiddish,"Amateur, Professional",1917; 1920,1949,Moscow,,,,,,,,,,,,,,,Moyshe Feder,Post,Yankev Gertner,Post,Jenny Epstein,Pre,Morits Norvid,Post,Sara Rotbaum,Post,Yosef Shayn,Post,Yankev Shidlo,Post,Lea Rotbaum,Post,Moyshe Broderzon,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomon Mikhoels,Actor,Alexander Granovsky,Founder,Marc Chagall,Designer,Natan Altman,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Schiller,Mikhl Vaykhert,Jacob Rotbaum,,,,,
Group Theater,,https://en.wikipedia.org/wiki/Group_Theatre_(New_York),English,Professional,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Strasberg,Founder,Harold Clurman,Founder,Stella Adler,Actor,Cheryl Crawford,Founder,J. Edward Bromberg,Actor,Luther Adler,Actor,Howard Da Silva,Actor,Lee J. Cobb,Actor,Boris Aronson,Designer,Martin Ritt,Actor,Sidney Kingsley,"Playwright, Actor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupe 36,,none,Yiddish,Professional,,,Warsaw,,,,,,,Mikhl Vaykhert,Post,,,,,,,Yankev Kurlender,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habimah,,http://www.yivoencyclopedia.org/article.aspx/Habimah,Hebrew,Professional,1917,,Moscow,Tel Aviv,,,,,,,,,,,,,,Josef Kaminski,Post,Shloyme Kon,Pre,Reuven Rubin,Post,Helen Zelinskaya,Pre,Zalmen Hirshfeld,Post,Slava Estrin,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Vardi,Founder,Natan Altman,Designer,Lia Koenig,Actor,Yevgeny Vakhtangov,Director,Sonia Sheftel-Shternfeld,Actor,Benjamin Zemach,Actor,Michio Itō,Choreographer,Martin Ritt,Production Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Schiller,,,,,,,
Hazomir,,none,Yiddish,School / Amateur,1905,1915,Warsaw,,,,,,,Dovid Herman,Pre,,,,,,,Zygmunt Turkow,Pre,Jacob Waislitz,Pre,Bela Belarina,Pre,Roza Birnboym,Pre,Yankev Gertner,Pre,Henrik Tarlo,Pre,Moyshe Feder,Pre,Mark Schweid,Pre,Slava Estrin,Pre,Morits Norvid,Pre,Henrik Tarlo,Pre,Avrom Taytlboym,Pre,Miriam Veyde,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew Actors Union,,https://en.wikipedia.org/wiki/Hebrew_Actors%27_Union,Yiddish,Union,,,New York,,,,,,,Leon Liebgold,Post,Mark Schweid,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew Literature Society of Philadelphia,,none,Yiddish,Amateur,,,Philadelphia,,,,,,,Baruch Lumet,Post,Yankev Mestel,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hirschbein Troupe,,https://en.wikipedia.org/wiki/Peretz_Hirschbein,Yiddish,Professional,1908,1910,Odessa,Warsaw,,,,,,,,,,,,,,Jacob Ben-Ami,Pre,Leah Naomi,Pre,Betty Dalska,Pre,Dovid Herman,Pre,Wolf Zilberberg,Pre,Reuven Vendorf,Pre,Slava Estrin,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peretz Hirschbein,Founder,Y.L. Peretz,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
