Theater Company / School / Artistic Organization,Alt names,Link to more info,Language,Type of Organization,Year Founded,Year Ended,Location,Location,Location,Location,Location,Location,Location,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,
Hochschule für Bildenden Künste,"Academy for Plastic Arts, Universität der Künste Berlin",http://www.udk-berlin.de/sites/content/themen/universitaet/universitaetsgeschichte/akademische_hochschule_fuer_die_bildenden_kuenste/index_ger.html,German,School,1875,Present,Berlin,,,,,,,Yitzkhok Broyner,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschule für Musik Berlin,,https://en.wikipedia.org/wiki/Hochschule_für_Musik_%22Hanns_Eisler%22,German,School,,,Berlin,,,,,,,,,,,,,,,Josef Kaminski,Pre,Henekh Kon,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschule für Musik und Theater,,https://en.wikipedia.org/wiki/University_of_Music_and_Theatre_Leipzig,German,School,,,Leipzig,,,,,,,,,,,,,,,Dovid Dovidov,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ida Kaminska Company,Drama Theater of Ida Kaminska,http://jwa.org/encyclopedia/article/kaminska-esther-rachel-and-ida-kaminska,Yiddish,Professional,1932,1939,Warsaw,,,,,,,Ida Kaminska,Post,,,,,,,Yankev Kurlender,Post,A. Roytman,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idisher folks teater,,none,Yiddish,Professional,1932,,Johannesburg,,,,,,,Yankev Mansdorf,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Academy of Music and the Performing Arts,,"https://en.wikipedia.org/wiki/University_of_Music_and_Performing_Arts,_Vienna",German,School,1817,Present,Vienna,,,,,,,,,,,,,,,Gertrud Kraus,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertrud Bodenwieser,Teacher,Claudia Vall,Student,Stanisław Dębicki,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irving Place Art Theater,,none,Yiddish,Professional,1926,1927,New York,,,,,,,Jacob Ben-Ami,Post,,,,,,,Reuven Vendorf,Post,Helen Zelinskaya,Pre,Lidia Pototska,Pre,Yankev Mestel,Pre,Leonid Sniegov,Post,Meyer Posner,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stella Adler,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Ballet Theatre,,https://en.wikipedia.org/wiki/Israel_Ballet,Hebrew,Professional,1950,1951,Tel Aviv,,,,,,,Gertrud Kraus,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Philharmonic Orchestra,,https://en.wikipedia.org/wiki/Israel_Philharmonic_Orchestra,Hebrew,Orchestra,1936,Present,Tel Aviv,,,,,,,Josef Kaminski,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Art Theater,Dos naye idishe kunst teater,http://jwa.org/encyclopedia/article/yiddish-theater-in-united-states,Yiddish,Professional,,,New York,,,,,,,Jacob Ben-Ami,Post,,,,,,,Leonid Sniegov,Post,Louis Bromberg,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudolph Schildkraut,Actor,Emanuel Reicher,Founder,Celia Adler,Actor,Lucy German,Actor,Misha German,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johannesburg Dramatic Studio,,none,Yiddish,Professional,early 1930's,failed,Johannesburg,,,,,,,Jacob Waislitz,Post,Simkhe Natan,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julliard School,,https://en.wikipedia.org/wiki/Juilliard_School,English,School,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ze'eva Cohen,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalyastre,,http://www.yivoencyclopedia.org/article.aspx/Kleynkunst,Yiddish,Professional,,,?,,,,,,,Moyshe Potashinski,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kharkov State Yiddish Theater,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,,,Kharkov,,,,,,,,,,,,,,,Henrik Tarlo,Post,Khane Braz,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaveyrim Trupe,,none,Yiddish,Cabaret,,,Antwerp,,,,,,,,,,,,,,,Nokhum Melnik,Post,Devorah Rosenblum,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiev Drawing School,Київська рисувальна школа (Kyivska rysuvalna shkola),http://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CK%5CY%5CKyivDrawingSchool.htm,Russian,School,1875,1901,Kiev,,,,,,,,,,,,,,,Alexander Azro,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox Street Theater,,none,English,Professional,,,Dallas,,,,,,,Baruch Lumet,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayne Mansfield,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komische Oper Berlin,,https://en.wikipedia.org/wiki/Komische_Oper_Berlin,German,Professional,1764,Present,Berlin,,,,,,,,,,,,,,,Nadia Kameni,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraków Academy of Fine Arts,Akademia Sztuk Pięknych w Krakowie im. Jana Matejki,http://culture.pl/en/place/jan-matejko-academy-of-fine-arts,Polish,School,1818,Present,Krakow,,,,,,,,,,,,,,,Maks Haneman,Pre,Andrzej Pronaszko,Pre,Fritz Kleynman,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Wyczółkowski,Teacher,Teodor Axentowicz,Teacher,Stanisław Dębicki,Student,Karol Frycz,Teacher,Tadeusz Kantor,Student,Józef Mehoffer,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krokever Yidish Teater,Krokover yidish kunst teater,none,Yiddish,Professional,1926,,Krakow,,,,,,,Avrom Morevsky,Post,,,,,,,Hersh Poznanski,Pre,Moyshe Potashinski,Post,Chava Eisen,Pre,Rokhl Holtzer,Pre,Yankev Kurlender,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Artistic Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krolevska Theater,,none,Yiddish,Professional,1908,1908,Warsaw,,,,,,,,,,,,,,,Leyzer Zhelazo,Pre,Jacob Ben-Ami,Pre,Ester Neroslavska,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemberg melukhe teater,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,,,Lviv,,,,,,,Simkhe Natan,,,,,,,,Sonia Altboym,Pre,Adam Domb,Post,Fritz Kleynman,Post,Yankev Kurlender,Post,Naomi Natan,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool Philharmonic,,https://en.wikipedia.org/wiki/Royal_Liverpool_Philharmonic,English,Orchestra,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Kletzki,Conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodz State Drama School,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Polish,School,,,Lodz,,,,,,,,,,,,,,,Zalmen Hirshfeld,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Silesian Yiddish Theater,"Nidershlezishn yidishn teater, Lower Silesian Jewish Theater",http://zydowskiwroclaw.uni.wroc.pl/blog/2012/01/10/jewish-theater-in-lower-silesia/,Yiddish,Professional,1946,1950,Wrocław,,,,,,,Jacob Rotbaum,Post,Ida Kaminska,Post,Zygmunt Turkow,Post,,,Yankev Kurlender,Post,Ruth Taru,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysenko Music and Drama School,Музично-драматичний інститут ім. М. Лисенка; Muzychno-dramatychnyi instytut im. M. Lysenka,http://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CL%5CY%5CLysenkoMusicandDramaSchool.htm,Russian,School,1918,1934,Kiev,,,,,,,,,,,,,,,Ester Orzevskaya,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macabi Theater,,none,Yiddish,Professional,,,Kishinev,,,,,,,,,,,,,,,Moyshe Schneidow,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Reinhardt Seminar,,https://en.wikipedia.org/wiki/Max_Reinhardt_Seminar,German,School,1929,1954,Vienna,Berlin,,,,,,,,,,,,,,Yankev Blayfer,Pre,Klara Meisels,Pre,Mikhl Vaykhert,Pre,Bela Daniel,Pre,Wolf Barzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertrud Bodenwieser,Teacher,Max Reinhardt,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melokhishe Yidishe Miniatur Teater,"Yidisher Melukhe Miniatur Teater, Little Yiddish State Theater",http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,1939,,Bialystok,,,,,,,Moyshe Broderzon,Post,,,,,,,Yoyel Bergman,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shimon Dzigan,Founder,Israel Shumacher,Founder,,,Wladyslaw Godik,Actor,Mina Bern,Actor,Felix Fibich,Actor,Judith Berg,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merkaz hatsairim,,none,Hebrew,Professional,,,Warsaw,,,,,,,Shloyme Kon,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsker shtot teater,,none,Yiddish,Professional,,,Minsk,,,,,,,,,,,,,,,Sonia Altboym,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldovan State Jewish Theater,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,1939,,Kishinev,,,,,,,Yankev Shternberg,Post,,,,,,,Dina Koenig,Post,Fraym Sorkin,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow Art Theater,,https://en.wikipedia.org/wiki/Moscow_Art_Theatre,Russian,"Amateur, Professional",1897,,Moscow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordon Craig,Director,Konstantin Stanislavsky,Founder,Richard Boleslavsky,Actor,Ivan Lazereff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moscow School of Painting, Sculpture, and Architecture","Московское училище живописи, ваяния и зодчества, МУЖВЗ","https://en.wikipedia.org/wiki/Moscow_School_of_Painting,_Sculpture_and_Architecture",Russian,School,1865,1939,Moscow,,,,,,,,,,,,,,,Konstanty Mackiewicz,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muster Teater,,none,Yiddish,Professional,1921,,Bucharest,,,,,,,,,,,,,,,Shmuel Iris,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narodowy Stary Teatr,Krakow Old Theater,http://culture.pl/pl/miejsce/stary-teatr-w-krakowie,Polish,Professional,1781,,Krakow,,,,,,,Andrzej Pronaszko,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadeusz Kantor,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Theatre, Warsaw",Teatr Narodowy,"https://en.wikipedia.org/wiki/National_Theatre,_Warsaw",Polish,Professional,1765,,Warsaw,,,,,,,,,,,,,,,Andrzej Pronaszko,Post,Rokhl Holtzer,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juliusz Osterwa,Director,Alexander Zelwerowicz,Director,Leon Schiller,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nay Azazel,,none,Yiddish,Cabaret,1940,,Warsaw Ghetto,,,,,,,Isaac Samberg,Post,,,,,,,Helena Gotlib,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naye yidishe teater,,none,Yiddish,Amateur,1918,1918,Warsaw,,,,,,,Dovid Herman,Pre,,,,,,,Baruch Lumet,Pre,Yankev Shidlo,Pre,Morits Norvid,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayer yidisher teater,,none,Yiddish,Professional,,,Riga,,,,,,,Avrom Morevsky,Post,Alex Stein,Post,,,,,Khavel Buzgan,Post,Daniel Shapiro,Pre,Frida Vitalin,Post,Mikhl Vaykhert,Post,Władysław Weintraub,Post,Henech Kon,Post,Yosef Kamen,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julius Adler,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood Playhouse,,https://en.wikipedia.org/wiki/Neighborhood_Playhouse_School_of_the_Theatre,English,"Professional, School",1915,,New York,,,,,,,,,,,,,,,Jacob Ben-Ami,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Boleslavsky,Actor,David Vardi,Director,Benjamin Zemach,Choreographer,Michio Itō,Dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Yiddish Art Theater,,none,Yiddish,Professional,1926,1927,New York,,,,,,,Jacob Ben-Ami,Post,Yankev Mestel,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
